Product Name,Category,Subcategory,Weight (kg),Material Composition,Distance (km),Recyclable,Repairable,Lifespan (yrs),Packaging Used,Eco Score,Carbon Footprint (kg CO2e),Is Eco-Friendly
Khadi Natural Herbal Shampoo Var2,Personal Care,Shampoo,0.511,"Plastic 60%, Organic 40%",327,Yes,No,2,Plastic,0.6,8.16,No
Apple iPhone 15 Var3,Electronics,Smartphone,0.172,"Aluminum 70%, Silicon 20%, Plastic 10%",5458,Yes,Yes,6,Cardboard,0.58,76.67,No
MacBook Air M2 Var3,Electronics,Laptop,1.213,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4945,Yes,Yes,7,Cardboard,0.61,164.57,No
Samsung Galaxy S24 Var3,Electronics,Smartphone,0.167,"Aluminum 60%, Glass 30%, Plastic 10%",4662,Yes,Yes,6,Cardboard,0.62,72.67,No
HP Pavilion x360 Var3,Electronics,Laptop,1.697,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4118,Yes,Yes,5,Cardboard,0.64,138.25,No
Samsung 322L Refrigerator Var3,Electronics,Refrigerator,56.455,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1861,Yes,Yes,13,Plastic,0.58,290.73,No
Godrej 7 kg Washing Machine Var3,Electronics,Washing Machine,35.929,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1541,Yes,Yes,9,Plastic,0.54,253.04,No
Philips 9W LED Bulb Var3,Electronics,LED Bulb,0.082,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1092,Yes,No,4,Paper,0.7,10.09,Yes
Organic Bananas (1kg) Var3,Grocery,Bananas,1.009,Organic 100%,191,Yes,No,2,None,0.9,1.93,Yes
Amul Gold Milk 1L Var3,Grocery,Milk,1.041,"Organic 90%, Plastic 10%",457,No,No,2,Tetrapak,0.64,3.47,Yes
Khadi Natural Herbal Shampoo Var3,Personal Care,Shampoo,0.504,"Plastic 60%, Organic 40%",281,Yes,No,3,Plastic,0.65,8.83,Yes
Apple iPhone 15 Var4,Electronics,Smartphone,0.175,"Aluminum 70%, Silicon 20%, Plastic 10%",4902,Yes,Yes,6,Cardboard,0.58,77.84,No
MacBook Air M2 Var4,Electronics,Laptop,1.234,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4744,Yes,Yes,8,Cardboard,0.68,160.39,No
Samsung Galaxy S24 Var4,Electronics,Smartphone,0.173,"Aluminum 60%, Glass 30%, Plastic 10%",4514,Yes,Yes,7,Cardboard,0.67,72.65,No
HP Pavilion x360 Var4,Electronics,Laptop,1.66,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3957,Yes,Yes,5,Cardboard,0.58,130.31,No
Samsung 322L Refrigerator Var4,Electronics,Refrigerator,54.142,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1856,Yes,Yes,12,Plastic,0.57,299.71,No
Godrej 7 kg Washing Machine Var4,Electronics,Washing Machine,35.93,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1530,Yes,Yes,9,Plastic,0.57,248.98,No
Philips 9W LED Bulb Var4,Electronics,LED Bulb,0.081,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1050,Yes,No,6,Paper,0.74,10.03,Yes
Organic Bananas (1kg) Var4,Grocery,Bananas,1.009,Organic 100%,180,Yes,No,1,None,0.86,1.93,Yes
Amul Gold Milk 1L Var4,Grocery,Milk,1.048,"Organic 90%, Plastic 10%",488,No,No,2,Tetrapak,0.64,3.66,Yes
Khadi Natural Herbal Shampoo Var4,Personal Care,Shampoo,0.504,"Plastic 60%, Organic 40%",278,Yes,No,2,Plastic,0.68,8.23,Yes
Apple iPhone 15 Var5,Electronics,Smartphone,0.174,"Aluminum 70%, Silicon 20%, Plastic 10%",5439,Yes,Yes,7,Cardboard,0.65,77.58,No
MacBook Air M2 Var5,Electronics,Laptop,1.23,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4910,Yes,Yes,6,Cardboard,0.63,164.42,No
Samsung Galaxy S24 Var5,Electronics,Smartphone,0.166,"Aluminum 60%, Glass 30%, Plastic 10%",4929,Yes,Yes,5,Cardboard,0.65,67.5,No
HP Pavilion x360 Var5,Electronics,Laptop,1.673,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4199,Yes,Yes,5,Cardboard,0.65,141.5,No
Samsung 322L Refrigerator Var5,Electronics,Refrigerator,55.082,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1905,Yes,Yes,13,Plastic,0.62,290.78,No
Godrej 7 kg Washing Machine Var5,Electronics,Washing Machine,34.568,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1532,Yes,Yes,10,Plastic,0.57,261.02,No
Philips 9W LED Bulb Var5,Electronics,LED Bulb,0.078,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1026,Yes,No,4,Paper,0.72,9.7,Yes
Organic Bananas (1kg) Var5,Grocery,Bananas,0.976,Organic 100%,186,Yes,No,1,None,0.93,2.06,Yes
Amul Gold Milk 1L Var5,Grocery,Milk,1.033,"Organic 90%, Plastic 10%",485,No,No,1,Tetrapak,0.64,3.38,Yes
Khadi Natural Herbal Shampoo Var5,Personal Care,Shampoo,0.493,"Plastic 60%, Organic 40%",314,Yes,No,3,Plastic,0.6,8.39,No
Apple iPhone 15 Var6,Electronics,Smartphone,0.172,"Aluminum 70%, Silicon 20%, Plastic 10%",4936,Yes,Yes,5,Cardboard,0.67,81.23,No
MacBook Air M2 Var6,Electronics,Laptop,1.249,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5328,Yes,Yes,8,Cardboard,0.61,163.21,No
Samsung Galaxy S24 Var6,Electronics,Smartphone,0.17,"Aluminum 60%, Glass 30%, Plastic 10%",4677,Yes,Yes,6,Cardboard,0.68,67.83,No
HP Pavilion x360 Var6,Electronics,Laptop,1.717,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3738,Yes,Yes,6,Cardboard,0.6,138.55,No
Samsung 322L Refrigerator Var6,Electronics,Refrigerator,54.141,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2136,Yes,Yes,11,Plastic,0.54,309.88,No
Godrej 7 kg Washing Machine Var6,Electronics,Washing Machine,35.228,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1452,Yes,Yes,9,Plastic,0.52,254.3,No
Philips 9W LED Bulb Var6,Electronics,LED Bulb,0.081,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",927,Yes,No,6,Paper,0.76,9.64,Yes
Organic Bananas (1kg) Var6,Grocery,Bananas,1.016,Organic 100%,182,Yes,No,1,None,0.94,2.09,Yes
Amul Gold Milk 1L Var6,Grocery,Milk,1.008,"Organic 90%, Plastic 10%",536,No,No,1,Tetrapak,0.62,3.61,Yes
Khadi Natural Herbal Shampoo Var6,Personal Care,Shampoo,0.488,"Plastic 60%, Organic 40%",291,Yes,No,1,Plastic,0.66,8.4,Yes
Apple iPhone 15 Var7,Electronics,Smartphone,0.172,"Aluminum 70%, Silicon 20%, Plastic 10%",4663,Yes,Yes,5,Cardboard,0.61,82.64,No
MacBook Air M2 Var7,Electronics,Laptop,1.211,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5098,Yes,Yes,6,Cardboard,0.64,167.74,No
Samsung Galaxy S24 Var7,Electronics,Smartphone,0.166,"Aluminum 60%, Glass 30%, Plastic 10%",5294,Yes,Yes,7,Cardboard,0.6,71.33,No
HP Pavilion x360 Var7,Electronics,Laptop,1.715,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4148,Yes,Yes,5,Cardboard,0.59,140.11,No
Samsung 322L Refrigerator Var7,Electronics,Refrigerator,55.583,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2157,Yes,Yes,12,Plastic,0.54,303.92,No
Godrej 7 kg Washing Machine Var7,Electronics,Washing Machine,34.526,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1552,Yes,Yes,10,Plastic,0.58,245.86,No
Philips 9W LED Bulb Var7,Electronics,LED Bulb,0.08,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",930,Yes,No,5,Paper,0.71,9.71,Yes
Organic Bananas (1kg) Var7,Grocery,Bananas,0.987,Organic 100%,214,Yes,No,1,None,0.85,1.94,Yes
Amul Gold Milk 1L Var7,Grocery,Milk,1.054,"Organic 90%, Plastic 10%",511,No,No,2,Tetrapak,0.56,3.57,No
Khadi Natural Herbal Shampoo Var7,Personal Care,Shampoo,0.495,"Plastic 60%, Organic 40%",304,Yes,No,1,Plastic,0.68,8.83,Yes
Apple iPhone 15 Var8,Electronics,Smartphone,0.173,"Aluminum 70%, Silicon 20%, Plastic 10%",5334,Yes,Yes,5,Cardboard,0.67,78.29,No
MacBook Air M2 Var8,Electronics,Laptop,1.252,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4882,Yes,Yes,6,Cardboard,0.68,157.96,No
Samsung Galaxy S24 Var8,Electronics,Smartphone,0.166,"Aluminum 60%, Glass 30%, Plastic 10%",4530,Yes,Yes,6,Cardboard,0.6,70.85,No
HP Pavilion x360 Var8,Electronics,Laptop,1.7,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4152,Yes,Yes,7,Cardboard,0.64,140.93,No
Samsung 322L Refrigerator Var8,Electronics,Refrigerator,56.532,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2086,Yes,Yes,11,Plastic,0.54,299.08,No
Godrej 7 kg Washing Machine Var8,Electronics,Washing Machine,35.368,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1353,Yes,Yes,9,Plastic,0.61,246.43,No
Philips 9W LED Bulb Var8,Electronics,LED Bulb,0.079,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1057,Yes,No,6,Paper,0.73,10.22,Yes
Organic Bananas (1kg) Var8,Grocery,Bananas,1.022,Organic 100%,206,Yes,No,1,None,0.9,2.06,Yes
Amul Gold Milk 1L Var8,Grocery,Milk,1.044,"Organic 90%, Plastic 10%",462,No,No,1,Tetrapak,0.57,3.57,No
Khadi Natural Herbal Shampoo Var8,Personal Care,Shampoo,0.512,"Plastic 60%, Organic 40%",294,Yes,No,2,Plastic,0.65,8.54,Yes
Apple iPhone 15 Var9,Electronics,Smartphone,0.172,"Aluminum 70%, Silicon 20%, Plastic 10%",5229,Yes,Yes,5,Cardboard,0.61,78.29,No
MacBook Air M2 Var9,Electronics,Laptop,1.239,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4523,Yes,Yes,7,Cardboard,0.65,161.65,No
Samsung Galaxy S24 Var9,Electronics,Smartphone,0.166,"Aluminum 60%, Glass 30%, Plastic 10%",5291,Yes,Yes,5,Cardboard,0.65,72.45,No
HP Pavilion x360 Var9,Electronics,Laptop,1.744,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3781,Yes,Yes,7,Cardboard,0.64,133.57,No
Samsung 322L Refrigerator Var9,Electronics,Refrigerator,54.645,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2136,Yes,Yes,13,Plastic,0.61,291.92,No
Godrej 7 kg Washing Machine Var9,Electronics,Washing Machine,34.69,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1625,Yes,Yes,10,Plastic,0.56,243.09,No
Philips 9W LED Bulb Var9,Electronics,LED Bulb,0.082,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1071,Yes,No,6,Paper,0.72,10.43,Yes
Organic Bananas (1kg) Var9,Grocery,Bananas,1.013,Organic 100%,219,Yes,No,2,None,0.89,2.0,Yes
Amul Gold Milk 1L Var9,Grocery,Milk,1.023,"Organic 90%, Plastic 10%",502,No,No,1,Tetrapak,0.59,3.43,No
Khadi Natural Herbal Shampoo Var9,Personal Care,Shampoo,0.506,"Plastic 60%, Organic 40%",288,Yes,No,2,Plastic,0.66,8.63,Yes
Apple iPhone 15 Var10,Electronics,Smartphone,0.176,"Aluminum 70%, Silicon 20%, Plastic 10%",5434,Yes,Yes,6,Cardboard,0.6,79.32,No
MacBook Air M2 Var10,Electronics,Laptop,1.232,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5402,Yes,Yes,8,Cardboard,0.65,166.35,No
Samsung Galaxy S24 Var10,Electronics,Smartphone,0.166,"Aluminum 60%, Glass 30%, Plastic 10%",4626,Yes,Yes,7,Cardboard,0.6,72.06,No
HP Pavilion x360 Var10,Electronics,Laptop,1.737,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3919,Yes,Yes,6,Cardboard,0.67,136.54,No
Samsung 322L Refrigerator Var10,Electronics,Refrigerator,53.77,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1834,Yes,Yes,13,Plastic,0.57,311.46,No
Godrej 7 kg Washing Machine Var10,Electronics,Washing Machine,35.057,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1448,Yes,Yes,9,Plastic,0.54,246.76,No
Philips 9W LED Bulb Var10,Electronics,LED Bulb,0.082,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1017,Yes,No,4,Paper,0.68,9.87,Yes
Organic Bananas (1kg) Var10,Grocery,Bananas,1.009,Organic 100%,216,Yes,No,1,None,0.93,2.05,Yes
Amul Gold Milk 1L Var10,Grocery,Milk,1.056,"Organic 90%, Plastic 10%",471,No,No,2,Tetrapak,0.62,3.46,Yes
Khadi Natural Herbal Shampoo Var10,Personal Care,Shampoo,0.489,"Plastic 60%, Organic 40%",329,Yes,No,2,Plastic,0.66,8.45,Yes
Apple iPhone 15 Var11,Electronics,Smartphone,0.178,"Aluminum 70%, Silicon 20%, Plastic 10%",4682,Yes,Yes,7,Cardboard,0.65,81.41,No
MacBook Air M2 Var11,Electronics,Laptop,1.272,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4853,Yes,Yes,8,Cardboard,0.69,164.05,No
Samsung Galaxy S24 Var11,Electronics,Smartphone,0.164,"Aluminum 60%, Glass 30%, Plastic 10%",5481,Yes,Yes,5,Cardboard,0.69,72.94,No
HP Pavilion x360 Var11,Electronics,Laptop,1.713,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3613,Yes,Yes,6,Cardboard,0.61,130.07,No
Samsung 322L Refrigerator Var11,Electronics,Refrigerator,53.446,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2192,Yes,Yes,12,Plastic,0.56,314.89,No
Godrej 7 kg Washing Machine Var11,Electronics,Washing Machine,35.622,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1574,Yes,Yes,10,Plastic,0.59,256.91,No
Philips 9W LED Bulb Var11,Electronics,LED Bulb,0.082,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1044,Yes,No,4,Paper,0.75,9.6,Yes
Organic Bananas (1kg) Var11,Grocery,Bananas,1.009,Organic 100%,181,Yes,No,1,None,0.92,1.99,Yes
Amul Gold Milk 1L Var11,Grocery,Milk,1.024,"Organic 90%, Plastic 10%",539,No,No,1,Tetrapak,0.65,3.59,Yes
Khadi Natural Herbal Shampoo Var11,Personal Care,Shampoo,0.514,"Plastic 60%, Organic 40%",299,Yes,No,3,Plastic,0.67,8.21,Yes
Apple iPhone 15 Var12,Electronics,Smartphone,0.176,"Aluminum 70%, Silicon 20%, Plastic 10%",5193,Yes,Yes,7,Cardboard,0.59,80.33,No
MacBook Air M2 Var12,Electronics,Laptop,1.251,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5364,Yes,Yes,8,Cardboard,0.63,164.19,No
Samsung Galaxy S24 Var12,Electronics,Smartphone,0.173,"Aluminum 60%, Glass 30%, Plastic 10%",5241,Yes,Yes,6,Cardboard,0.6,72.39,No
HP Pavilion x360 Var12,Electronics,Laptop,1.711,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3691,Yes,Yes,6,Cardboard,0.62,137.18,No
Samsung 322L Refrigerator Var12,Electronics,Refrigerator,55.974,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1870,Yes,Yes,11,Plastic,0.6,303.8,No
Godrej 7 kg Washing Machine Var12,Electronics,Washing Machine,35.784,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1549,Yes,Yes,10,Plastic,0.58,258.47,No
Philips 9W LED Bulb Var12,Electronics,LED Bulb,0.078,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1067,Yes,No,6,Paper,0.72,10.38,Yes
Organic Bananas (1kg) Var12,Grocery,Bananas,0.993,Organic 100%,219,Yes,No,2,None,0.89,2.0,Yes
Amul Gold Milk 1L Var12,Grocery,Milk,1.007,"Organic 90%, Plastic 10%",492,No,No,1,Tetrapak,0.62,3.58,Yes
Khadi Natural Herbal Shampoo Var12,Personal Care,Shampoo,0.512,"Plastic 60%, Organic 40%",297,Yes,No,2,Plastic,0.69,8.64,Yes
Apple iPhone 15 Var13,Electronics,Smartphone,0.177,"Aluminum 70%, Silicon 20%, Plastic 10%",5391,Yes,Yes,7,Cardboard,0.62,79.32,No
MacBook Air M2 Var13,Electronics,Laptop,1.277,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5313,Yes,Yes,8,Cardboard,0.61,156.66,No
Samsung Galaxy S24 Var13,Electronics,Smartphone,0.165,"Aluminum 60%, Glass 30%, Plastic 10%",4506,Yes,Yes,6,Cardboard,0.65,69.91,No
HP Pavilion x360 Var13,Electronics,Laptop,1.711,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3808,Yes,Yes,7,Cardboard,0.65,135.62,No
Samsung 322L Refrigerator Var13,Electronics,Refrigerator,54.606,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1828,Yes,Yes,13,Plastic,0.56,296.41,No
Godrej 7 kg Washing Machine Var13,Electronics,Washing Machine,35.085,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1582,Yes,Yes,9,Plastic,0.58,257.9,No
Philips 9W LED Bulb Var13,Electronics,LED Bulb,0.078,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1068,Yes,No,4,Paper,0.69,10.19,Yes
Organic Bananas (1kg) Var13,Grocery,Bananas,1.015,Organic 100%,190,Yes,No,1,None,0.93,1.94,Yes
Amul Gold Milk 1L Var13,Grocery,Milk,1.009,"Organic 90%, Plastic 10%",450,No,No,1,Tetrapak,0.65,3.51,Yes
Khadi Natural Herbal Shampoo Var13,Personal Care,Shampoo,0.489,"Plastic 60%, Organic 40%",320,Yes,No,2,Plastic,0.61,8.21,Yes
Apple iPhone 15 Var14,Electronics,Smartphone,0.171,"Aluminum 70%, Silicon 20%, Plastic 10%",5023,Yes,Yes,5,Cardboard,0.67,79.95,No
MacBook Air M2 Var14,Electronics,Laptop,1.275,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5194,Yes,Yes,8,Cardboard,0.63,160.76,No
Samsung Galaxy S24 Var14,Electronics,Smartphone,0.171,"Aluminum 60%, Glass 30%, Plastic 10%",4801,Yes,Yes,6,Cardboard,0.64,70.92,No
HP Pavilion x360 Var14,Electronics,Laptop,1.737,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4037,Yes,Yes,6,Cardboard,0.61,133.23,No
Samsung 322L Refrigerator Var14,Electronics,Refrigerator,55.579,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1950,Yes,Yes,11,Plastic,0.63,294.99,No
Godrej 7 kg Washing Machine Var14,Electronics,Washing Machine,35.987,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1555,Yes,Yes,9,Plastic,0.61,262.32,No
Philips 9W LED Bulb Var14,Electronics,LED Bulb,0.081,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",999,Yes,No,5,Paper,0.76,10.13,Yes
Organic Bananas (1kg) Var14,Grocery,Bananas,0.975,Organic 100%,216,Yes,No,2,None,0.88,1.92,Yes
Amul Gold Milk 1L Var14,Grocery,Milk,1.029,"Organic 90%, Plastic 10%",504,No,No,1,Tetrapak,0.64,3.43,Yes
Khadi Natural Herbal Shampoo Var14,Personal Care,Shampoo,0.496,"Plastic 60%, Organic 40%",278,Yes,No,2,Plastic,0.67,8.9,Yes
Apple iPhone 15 Var15,Electronics,Smartphone,0.175,"Aluminum 70%, Silicon 20%, Plastic 10%",5202,Yes,Yes,6,Cardboard,0.65,79.76,No
MacBook Air M2 Var15,Electronics,Laptop,1.25,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4645,Yes,Yes,8,Cardboard,0.69,156.08,No
Samsung Galaxy S24 Var15,Electronics,Smartphone,0.163,"Aluminum 60%, Glass 30%, Plastic 10%",5197,Yes,Yes,6,Cardboard,0.69,69.84,No
HP Pavilion x360 Var15,Electronics,Laptop,1.73,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3962,Yes,Yes,6,Cardboard,0.58,140.02,No
Samsung 322L Refrigerator Var15,Electronics,Refrigerator,55.654,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2077,Yes,Yes,11,Plastic,0.58,293.68,No
Godrej 7 kg Washing Machine Var15,Electronics,Washing Machine,34.412,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1454,Yes,Yes,9,Plastic,0.6,247.03,No
Philips 9W LED Bulb Var15,Electronics,LED Bulb,0.078,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1055,Yes,No,6,Paper,0.77,9.94,Yes
Organic Bananas (1kg) Var15,Grocery,Bananas,1.025,Organic 100%,211,Yes,No,1,None,0.94,2.05,Yes
Amul Gold Milk 1L Var15,Grocery,Milk,1.019,"Organic 90%, Plastic 10%",512,No,No,2,Tetrapak,0.57,3.67,No
Khadi Natural Herbal Shampoo Var15,Personal Care,Shampoo,0.493,"Plastic 60%, Organic 40%",314,Yes,No,3,Plastic,0.63,8.89,Yes
Apple iPhone 15 Var16,Electronics,Smartphone,0.169,"Aluminum 70%, Silicon 20%, Plastic 10%",4671,Yes,Yes,7,Cardboard,0.66,77.21,No
MacBook Air M2 Var16,Electronics,Laptop,1.265,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5326,Yes,Yes,6,Cardboard,0.69,167.34,No
Samsung Galaxy S24 Var16,Electronics,Smartphone,0.171,"Aluminum 60%, Glass 30%, Plastic 10%",4747,Yes,Yes,7,Cardboard,0.6,71.31,No
HP Pavilion x360 Var16,Electronics,Laptop,1.711,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4365,Yes,Yes,6,Cardboard,0.65,141.56,No
Samsung 322L Refrigerator Var16,Electronics,Refrigerator,56.629,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2173,Yes,Yes,12,Plastic,0.57,306.35,No
Godrej 7 kg Washing Machine Var16,Electronics,Washing Machine,34.995,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1396,Yes,Yes,10,Plastic,0.52,257.66,No
Philips 9W LED Bulb Var16,Electronics,LED Bulb,0.082,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1014,Yes,No,5,Paper,0.69,10.16,Yes
Organic Bananas (1kg) Var16,Grocery,Bananas,1.013,Organic 100%,195,Yes,No,1,None,0.92,1.97,Yes
Amul Gold Milk 1L Var16,Grocery,Milk,1.049,"Organic 90%, Plastic 10%",542,No,No,1,Tetrapak,0.61,3.6,Yes
Khadi Natural Herbal Shampoo Var16,Personal Care,Shampoo,0.49,"Plastic 60%, Organic 40%",303,Yes,No,2,Plastic,0.61,8.44,Yes
Apple iPhone 15 Var17,Electronics,Smartphone,0.176,"Aluminum 70%, Silicon 20%, Plastic 10%",5323,Yes,Yes,5,Cardboard,0.66,77.93,No
MacBook Air M2 Var17,Electronics,Laptop,1.213,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4513,Yes,Yes,7,Cardboard,0.6,165.2,No
Samsung Galaxy S24 Var17,Electronics,Smartphone,0.165,"Aluminum 60%, Glass 30%, Plastic 10%",4613,Yes,Yes,6,Cardboard,0.6,71.74,No
HP Pavilion x360 Var17,Electronics,Laptop,1.699,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3959,Yes,Yes,5,Cardboard,0.59,139.23,No
